wavelength,kabs,ksca,gsca,kext,Av
829.89303,0.9312007,0.0017235934,0.001540206,0.9329242934,7.75907074585384E-05
831.53875,0.92829917,0.0017099773,0.0015348257,0.9300091473,7.73482566510675E-05
833.18774,0.92539472,0.0016964481,0.0015294943,0.9270911681,7.710557021651E-05
834.84,0.92248727,0.0016830452,0.0015242018,0.9241703152,7.68626447781903E-05
836.49554,0.91959302,0.0016696539,0.0015188289,0.9212626739,7.66208181400604E-05
838.15436,0.91669816,0.001656391,0.0015135522,0.918354551,7.63789514475713E-05
839.81646,0.91394107,0.0016440755,0.0015086336,0.9155851455,7.614862179113E-05
841.48187,0.91105749,0.0016309508,0.0015033621,0.9126884408,7.59077047429177E-05
843.15058,0.90816576,0.0016178859,0.0014980554,0.9097836459,7.56661148380267E-05
844.82259,0.90528941,0.0016049539,0.0014927817,0.9068943639,7.54258151309517E-05
846.49792,0.90254609,0.0015929075,0.0014878959,0.9041389975,7.51966530973376E-05
848.17658,0.89967818,0.0015801125,0.0014826458,0.9012582925,7.4957066733781E-05
849.85856,0.89680995,0.0015673482,0.001477354,0.8983772982,7.47174563093313E-05
851.54388,0.89407653,0.0015555241,0.0014725011,0.8956320541,7.44891361408329E-05
853.23254,0.89121558,0.0015429629,0.0014672893,0.8927585429,7.42501480809492E-05
854.92455,0.88836103,0.0015304643,0.0014620484,0.8898914943,7.40116975113094E-05
856.61991,0.88563645,0.0015188324,0.0014571914,0.8871552824,7.37841285450177E-05
858.31864,0.88279019,0.0015064719,0.0014519938,0.8842966619,7.35463789349801E-05
860.02073,0.88005927,0.0014950057,0.0014471591,0.8815542757,7.33182964561681E-05
861.72621,0.8772196,0.0014827749,0.0014419726,0.8787023749,7.30811057192144E-05
863.43506,0.87451066,0.001471441,0.0014371912,0.875982101,7.28548623060294E-05
865.1473,0.87180252,0.0014601693,0.0014323702,0.8732626893,7.26286906014584E-05
866.86294,0.86896909,0.0014481798,0.0014271861,0.8704172698,7.23920389100154E-05
868.58197,0.866271,0.0014370362,0.0014224292,0.8677080362,7.21667137114097E-05
870.30442,0.86359303,0.0014259612,0.0014176586,0.8650189912,7.19430675855516E-05
872.03029,0.86076475,0.0014141863,0.0014124958,0.8621789363,7.17068620644058E-05
873.75957,0.85807346,0.0014032397,0.0014077457,0.8594766997,7.14821188017449E-05
875.49229,0.85537784,0.0013923617,0.0014030027,0.8567702017,7.12570211212142E-05
877.22844,0.85269259,0.001381558,0.0013982362,0.854074148,7.10327920863299E-05
878.96803,0.84988595,0.00137003,0.0013931053,0.85125598,7.07984068844395E-05
880.71108,0.84722248,0.0013593575,0.0013883691,0.8485818375,7.05760001898257E-05
882.45758,0.84454788,0.0013487444,0.0013836292,0.8458966244,7.03526727606014E-05
884.20754,0.84187818,0.001338185,0.0013789595,0.843216365,7.01297573273882E-05
885.96098,0.83921266,0.0013276875,0.0013742293,0.8405403475,6.99071946902425E-05
887.71789,0.8365439,0.0013172678,0.0013695045,0.8378611678,6.96843690549769E-05
889.47828,0.83389062,0.0013069013,0.00136484,0.8351975213,6.9462835305865E-05
891.24217,0.83123229,0.001296594,0.0013601183,0.832528884,6.92408864751591E-05
893.00956,0.8285691,0.0012863337,0.001355465,0.8298554337,6.90185373503697E-05
894.78044,0.82592279,0.0012761702,0.0013507543,0.8271989602,6.87976001750083E-05
896.55485,0.82329067,0.001266023,0.0013461099,0.824556693,6.85778445283895E-05
898.33277,0.82064916,0.0012559835,0.0013414543,0.8219051435,6.83573168789094E-05
900.11421,0.81805561,0.0012459793,0.0013367233,0.8193015893,6.81407809673529E-05
901.89919,0.81579328,0.0012367418,0.0013322204,0.8170300218,6.79518561739782E-05
903.68771,0.81342377,0.0012268467,0.0013273291,0.8146506167,6.77539625974623E-05
905.47977,0.81104223,0.0012169846,0.0013224512,0.8122592146,6.75550712382497E-05
907.27539,0.80866154,0.0012072267,0.0013175506,0.8098687667,6.73562592392311E-05
909.07457,0.80641043,0.0011982047,0.0013130712,0.8076086347,6.7168285528963E-05
910.87732,0.80403569,0.0011885286,0.0013082057,0.8052242186,6.69699751908323E-05
912.68364,0.80167582,0.0011789184,0.0013033566,0.8028547384,6.67729070618023E-05
914.49354,0.79942598,0.0011700684,0.0012988867,0.8005960484,6.65850532817374E-05
916.30704,0.7970614,0.0011605616,0.0012940506,0.7982219616,6.63876020247778E-05
918.12413,0.79483475,0.0011518172,0.0012895998,0.7959865672,6.62016857246322E-05
919.94482,0.79246506,0.0011424494,0.0012847757,0.7936075094,6.60038210328318E-05
921.76912,0.79011133,0.0011331293,0.0012799667,0.7912444593,6.58072876910418E-05
923.59704,0.78787679,0.0011245107,0.0012755444,0.7890013007,6.56207256474258E-05
925.42859,0.78553044,0.0011152997,0.0012707415,0.7866457397,6.54248151692179E-05
927.26377,0.78329662,0.0011067813,0.0012663342,0.7844034013,6.52383213411031E-05
929.10258,0.78107279,0.0010983229,0.0012619271,0.7821711129,6.50526633649599E-05
930.94505,0.77873945,0.0010892826,0.0012571515,0.7798287326,6.48578491170089E-05
932.79117,0.77651545,0.0010809298,0.0012527651,0.7775963798,6.46721857847595E-05
934.64094,0.7742975,0.0010726502,0.0012483728,0.7753701502,6.44870317150765E-05
