wavelength,Acoff,Scoff,Av
919.94482,0.79246506,0.0011424494,0.000368347945887417
921.76912,0.79011133,0.0011331293,0.000367253901929601
923.59704,0.78787679,0.0011245107,0.000366215259015801
925.42859,0.78553044,0.0011152997,0.000365124645376844
927.26377,0.78329662,0.0011067813,0.000364086337128298
929.10258,0.78107279,0.0010983229,0.000363052672360159
930.94505,0.77873945,0.0010892826,0.000361968105936427
932.79117,0.77651545,0.0010809298,0.000360934362150103
934.64094,0.7742975,0.0010726502,0.000359903430481544
936.49439,0.77196493,0.0010637453,0.000358819221963709
938.35151,0.7697527,0.0010555425,0.000357790949024672
940.21232,0.7675489,0.0010473984,0.00035676659445799
942.07681,0.765334,0.0010392737,0.000355737080468634
943.94501,0.76300648,0.0010305989,0.000354655219255709
945.8169,0.76080667,0.0010225742,0.000353632719292313
947.69251,0.75860416,0.0010146079,0.000352608964334213
949.57184,0.756417,0.0010067131,0.000351592344253414
951.4549,0.75421436,0.0009988078,0.000350568528869643
953.34169,0.7520231,0.00099100379,0.000349550003056145
955.23222,0.74983101,0.00098322739,0.000348531091447978
957.1265,0.74764899,0.00097548343,0.000347516860505247
959.02453,0.74545496,0.00096779617,0.000346497047160144
960.92634,0.7432769,0.00096014265,0.000345484656876314
962.83191,0.74109459,0.00095255443,0.000344470291137855
964.74126,0.73891862,0.00094500541,0.000343458872312888
966.6544,0.73673705,0.00093749678,0.000342444850535941
968.57133,0.73456359,0.00093003337,0.000341434598391236
970.49206,0.73239132,0.00092260927,0.000340424899373827
972.4166,0.73022516,0.00091524746,0.000339418040362954
974.34496,0.72817403,0.00090847942,0.000338464648774625
976.27714,0.7260101,0.00090119377,0.000337458826296415
978.21315,0.72385305,0.00089395113,0.000336456201730638
980.15301,0.72168668,0.00088675587,0.000335449245109065
982.09671,0.71965254,0.00088014282,0.000334503750691119
984.04426,0.71748761,0.00087302725,0.000333497463400055
985.99568,0.71534278,0.00086594519,0.000332500518847348
987.95096,0.71331154,0.00085946591,0.000331556372386677
989.91013,0.71115501,0.00085247462,0.000330553989523583
991.87318,0.70913087,0.00084606601,0.000329613143234172
993.84012,0.70699296,0.00083915071,0.000328619415186412
995.81096,0.7049614,0.00083282051,0.000327675119985628
997.78571,0.7028222,0.00082598528,0.000326680792329286
999.76438,0.70081324,0.00081973113,0.000325747001898993
1001.747,0.69882711,0.00081299342,0.000324823823146146
1003.7335,0.69698564,0.00080680957,0.000323967884220696
1005.7239,0.69502497,0.00080015049,0.000323056539603101
1007.7184,0.69317597,0.00079405035,0.000322197100636863
1009.7167,0.69133383,0.0007879803,0.000321340850286801
1011.719,0.689379,0.00078143995,0.000320432220176271
1013.7253,0.68754874,0.00077543976,0.000319581491802909
1015.7356,0.68569777,0.00076947406,0.00031872113715535
1017.7499,0.68386685,0.00076354922,0.000317870102005505
1019.7681,0.68191842,0.00075715887,0.000316964446697237
1021.7904,0.68007496,0.00075130106,0.000316107582794209
1023.8167,0.67824912,0.00074548255,0.000315258908893659
1025.847,0.67642512,0.00073969949,0.000314411090248761
1027.8813,0.67460072,0.00073393582,0.000313563085678721
1029.9196,0.67277404,0.00072820889,0.000312714021335375
1031.962,0.67095359,0.00072252899,0.000311867852776106
1034.0084,0.6691244,0.0007168767,0.000311017621752498
1036.0589,0.66729747,0.00071125202,0.000310168441205938
1038.1135,0.66548598,0.00070566622,0.000309326437369838
1040.1721,0.66366564,0.00070010217,0.000308480319939983
1042.2349,0.66185116,0.00069458274,0.000307636926313451
1044.3017,0.66002992,0.00068909076,0.000306790390552028
1046.3726,0.65821805,0.00068362676,0.000305948210087043
1048.4476,0.65640845,0.00067820165,0.000305107084747236
1050.5267,0.65459855,0.00067281203,0.000304265819963573
1052.61,0.65279022,0.00066745361,0.000303425284936089
1054.6974,0.65098402,0.00066212758,0.000302585739959984
1056.7889,0.64929861,0.00065727361,0.000301802339728461
1058.8846,0.64749685,0.00065200831,0.000300964858521426
1060.9844,0.64569467,0.00064677073,0.000300127182092992
1063.0884,0.64389273,0.00064157251,0.000299289617219643
1065.1966,0.64221199,0.00063681962,0.000298508387664146
1067.3089,0.64041288,0.00063168085,0.000297672138211172
1069.4254,0.638617,0.00062656721,0.000296837390103716
1071.5462,0.63693937,0.00062190938,0.000296057606116193
1073.6711,0.63514837,0.000616856,0.000295225126295463
1075.8003,0.63335858,0.00061183034,0.000294393208898284
1077.9336,0.6316831,0.00060725214,0.000293614424258397
1080.0712,0.6298905,0.00060228641,0.0002927812007371
1082.2131,0.62822741,0.00059777105,0.000292008175128468
1084.3592,0.62644199,0.00059286987,0.00029117828896346
1086.5095,0.62476647,0.00058839151,0.000290399485731059
1088.6641,0.62298806,0.00058355,0.000289572857904154
1090.823,0.62132307,0.00057913136,0.000288798949151101
1092.9862,0.61965407,0.00057474649,0.000288023176498504
1095.1536,0.61787625,0.00056997738,0.000287196822911183
1097.3254,0.61620888,0.00056563779,0.000286421807903538
1099.5015,0.61455111,0.00056132264,0.000285651255099287
1101.6818,0.61277679,0.00055664782,0.000284826528356954
